movie_title,genre,mpaa_rating,total_gross,inflation_adjusted_gross,runtime,imdb_rating,rotten_tomatoes_critic_rating,release_year,release_month
Mumford,Comedy,R,4559569,7566363,112.0,6.9,71.0,1999,9
"Mystery, Alaska",Comedy,R,8891623,14755189,119.0,6.7,38.0,1999,10
The Straight Story,Drama,G,6197866,10111144,112.0,8.0,96.0,1999,10
The Insider,Drama,R,28965197,47794214,157.0,7.8,96.0,1999,11
Toy Story 2,Adventure,G,245852179,404450426,92.0,2.0,100.0,1999,11
Cradle Will Rock,Drama,R,2899970,4609153,132.0,6.9,64.0,1999,12
Deuce Bigalow: Male Gigolo,Comedy,R,65535067,106921374,88.0,5.7,23.0,1999,12
Bicentennial Man,Drama,PG,58220776,94838225,132.0,6.9,36.0,1999,12
Play it to the Bone,Comedy,R,8427204,13180524,124.0,5.4,11.0,1999,12
Fantasia 2000 (IMAX),Musical,G,60507228,94852354,75.0,2.0,82.0,2000,1
Gun Shy,Comedy,R,1638202,2562155,101.0,5.7,0.0,2000,2
The Tigger Movie,Adventure,G,45542421,71228678,77.0,6.3,63.0,2000,2
Mission to Mars,Adventure,PG,60874615,95208344,114.0,5.7,24.0,2000,3
